SYMBOL,NAME,LastPrice,MostProbablePrice,MostProbablePctMove,MedianPctMove,P5PctMove,P95PctMove,PeriodHighPctMove,PeriodLowPctMove,ProbOfThreshold,ProbCI_Lo,ProbCI_Hi,RankMetric
AAKASH,Aakash Exploration Services Limited,9.140000343322754,8.877814369689077,-2.868555402464701,-1.5500261799006876,-15.549724538213546,17.722714943835545,3.6977003524152563,-5.063294195399093,,,,2.868555402464701
3IINFOLTD,3i Infotech Limited,22.450000762939453,21.828591644043286,-2.767969255136915,-0.7298933544451269,-13.969937622462671,17.946008343973663,3.7232752799408964,-4.569417901811779,,,,2.767969255136915
5PAISA,5Paisa Capital Limited,333.0,325.49497025387984,-2.2537626865225646,-1.0991952888358136,-11.969466067629337,13.411859096121429,2.899962482575169,-4.063266164975149,,,,2.2537626865225646
AARTECH,Aartech Solonics Limited,52.2599983215332,51.24878925616145,-1.934958090029426,-0.1415594880598836,-15.11072709902422,20.425676116049637,5.0035752666189754,-5.011548889456274,,,,1.934958090029426
AARON,Aaron Industries Limited,137.14999389648438,135.62793929217463,-1.109773730984298,0.08208064058292663,-12.549202740263981,16.60008820282215,4.144328860479662,-3.9633081030034156,,,,1.109773730984298
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,96.0999984741211,95.13526993135531,-1.003879873136082,0.05662746568299015,-13.753008047757298,18.075125841223056,4.638944146921586,-4.295372140993242,,,,1.003879873136082
AARTIPHARM,Aarti Pharmalabs Limited,823.6500244140625,831.6840998581823,0.9754234451501587,1.1876935073661499,-12.700698558603948,18.003473413627862,4.844867492391436,-3.268654921438113,,,,0.9754234451501587
360ONE,360 ONE WAM LIMITED,1097.800048828125,1107.6280846368109,0.8952482575653953,0.9371758812560027,-9.931077957760081,13.156459426581216,3.9354856475473543,-2.861089372147485,,,,0.8952482575653953
AARTIDRUGS,Aarti Drugs Limited,436.95001220703125,433.477422834109,-0.7947337855381265,-0.7479619572777374,-10.463153652009451,12.54400746798352,2.4252565485275546,-3.4242351873457033,,,,0.7947337855381265
63MOONS,63 moons technologies limited,890.5,897.0074726606697,0.7307661606591465,1.28822713664839,-14.424593491855571,20.732401497831034,5.896197072291476,-4.728582833029393,,,,0.7307661606591465
3MINDIA,3M India Limited,32915.0,33120.82721987066,0.6253295454068386,0.304731904625144,-7.688413019028627,9.810184758040137,2.520939222145413,-2.368033385759855,,,,0.6253295454068386
20MICRONS,20 Microns Limited,212.0,211.03403719405213,-0.4556428329942741,0.7906332158983065,-13.910579688654396,20.328306537261028,4.991182070971101,-4.213362014260613,,,,0.4556428329942741
21STCENMGM,21st Century Management Services Limited,39.099998474121094,39.264689677753864,0.4212051408180262,0.21199732709370478,-8.484875953169936,9.305342071262158,2.782421897172238,-2.7854441172687485,,,,0.4212051408180262
A2ZINFRA,A2Z Infra Engineering Limited,14.989999771118164,15.052737068573546,0.4185276745384714,1.0641118600763333,-13.876315567143301,19.483287635158852,5.884101955341392,-4.482416202478323,,,,0.4185276745384714
AADHARHFC,Aadhar Housing Finance Limited,461.20001220703125,462.0611313191975,0.18671272536299188,0.6213957521101543,-9.366932873279207,12.289097959937923,3.327133375074942,-2.838283868499997,,,,0.18671272536299188
3PLAND,3P Land Holdings Limited,32.0,31.947957010348027,-0.1626343426624155,0.4865644554844395,-14.095309145119401,20.979726190987186,4.82342990378134,-4.4640682351873515,,,,0.1626343426624155
AAATECH,AAA Technologies Limited,91.81999969482422,91.93204899939758,0.12203148001064257,-0.1382829945664965,-14.020310077105226,18.492128635735618,4.02729722439047,-4.471176195394305,,,,0.12203148001064257
AARTIIND,Aarti Industries Limited,503.70001220703125,503.78825222510795,0.017518367269842017,-0.21797718870193994,-10.710459887840658,11.715484808337436,2.9324092529376733,-3.197440500596355,,,,0.017518367269842017
